#KSL
ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID
477	Hawaiian	give	60	hā`awi	haːʔawi	h aː ʔ a w i	938
478	Latin	give	60	dat	da	d a	934
479	Navajo	give	60	nish'aah	niʔaːh	n i ʔ aː h	937
480	Turkish	give	60	veriyor	ver	v e r	935
#
481	Albanian	go	61	shkon	ʃko	ʃ k o	62
482	English	go	61	goes	go	g o	59
483	French	go	61	va	v	v	60
484	German	go	61	geht	geː	g eː	59
485	Hawaiian	go	61	hele	hele	h e l e	65
486	Latin	go	61	it	iː	iː	64
487	Navajo	go	61	yíghááh	jiɣaːh	j i ɣ aː h	63
488	Turkish	go	61	yürüyor	jyry	j y r y	61
#
489	Albanian	good	62	mirë	mir	m i r	-170
490	English	good	62	good	gʊd	g ʊ d	167
491	French	good	62	bon	bɔn	b ɔ n	168
492	German	good	62	gut	guːt	g uː t	167
493	Hawaiian	good	62	maika`i	maikaʔi	m a i k a ʔ i	172
494	Latin	good	62	bonus	bono	b o n o	168
495	Navajo	good	62	yá'átˀééh	jayʔaytˀeːh	j ay ʔ ay tˀ eː h	171
496	Turkish	good	62	iyi	iji	i j i	169
#
497	Albanian	grass	63	bar	bar	b a r	907
498	English	grass	63	grass	gras	g r a s	904
499	French	grass	63	herbe	ɛrb	ɛ r b	905
500	German	grass	63	Gras	graːz	g r aː z	904
501	Hawaiian	grass	63	mau`u	mauʔu	m a u ʔ u	910
502	Latin	grass	63	gramen	graːmen	g r aː m e n	909
503	Navajo	grass	63	tƚ'oh	tˡˀoh	tˡˀ o h	908
504	Turkish	grass	63	ot	ot	o t	906
#
505	Albanian	grease	64	dhjamë	ðjam	ð j a m	-393
506	English	grease	64	grease	gris	g r i s	-391
507	French	grease	64	graisse	grɛs	g r ɛ s	391
508	German	grease	64	Fett	fet	f e t	-390
509	Hawaiian	grease	64	`aila	ʔaila	ʔ a i l a	-396
510	Latin	grease	64	adeps	adep	a d e p	395
511	Navajo	grease	64	'ak'ah	kˀah	kˀ a h	394
512	Turkish	grease	64	yağ	jaɣ	j a ɣ	392
#
513	Albanian	green	65	gjelbër	ɟelbər	ɟ e l b ə r	-1194
514	English	green	65	green	grin	g r i n	1191
515	French	green	65	vert	vɛrt	v ɛ r t	1192
516	German	green	65	grün	gryːn	g r yː n	1191
517	Hawaiian	green	65	`ōma`oma`o	ʔoːmaʔomaʔo	ʔ oː m a ʔ o m a ʔ o	1196
518	Latin	green	65	viridis	wiridi	w i r i d i	1192
519	Navajo	green	65	dootƚ'izh	doːtˡˀiʒ	d oː tˡˀ i ʒ	1195
520	Turkish	green	65	yeşil	jeʃil	j e ʃ i l	1193
#
521	Albanian	guts	66	zorrë	zorː	z o rː	103
522	English	guts	66	guts	gət	g ə t	101
523	French	guts	66	intestins	ɛ̃tɛstɛ̃	ɛ̃ t ɛ s t ɛ̃	-100
524	German	guts	66	Därme	darm	d a r m	99
525	Hawaiian	guts	66	na`au	naʔau	n a ʔ a u	105
526	Latin	guts	66	intestina	intestiːno	i n t e s t iː n o	100
527	Navajo	guts	66	'ach'íí'	ʧˀiːʔ	ʧˀ iː ʔ	104
528	Turkish	guts	66	barsaklar	barsak	b a r s a k	102
#
529	Albanian	hair	67	flok	flok	f l o k	-382
530	English	hair	67	hair	hɛr	h ɛ r	-379
531	French	hair	67	cheveux	ʃəvø	ʃ ə v ø	380
532	German	hair	67	Haare	haːr	h aː r	379
533	Hawaiian	hair	67	lauoho	lauoho	l a u o h o	384
534	Latin	hair	67	capillus	kapilːo	k a p i lː o	380
535	Navajo	hair	67	'atsiighá	ʦiːɣaʔ	ʦ iː ɣ a ʔ	383
536	Turkish	hair	67	saç	saʧ	s a ʧ	381
#
537	Albanian	hand	68	dorë	dor	d o r	1097
538	English	hand	68	hand	hand	h a n d	1094
539	French	hand	68	main	mɛ̃	m ɛ̃	1095
540	German	hand	68	Hand	hand	h a n d	1094
541	Hawaiian	hand	68	lima	lima	l i m a	1099
542	Latin	hand	68	manus	manu	m a n u	1095
543	Navajo	hand	68	'ála'	laʔ	l a ʔ	1098
544	Turkish	hand	68	el	el	e l	1096
#
545	Albanian	he	69	ai	ai	a i	837
546	English	he	69	he	hi	h i	835
547	French	he	69	il	il	i l	834
548	German	he	69	er	eːr	eː r	833
549	Hawaiian	he	69	ia	ia	i a	840
550	Latin	he	69	is	i	i	839
551	Navajo	he	69	bí	bi	b i	838
552	Turkish	he	69	o	on	o n	836
#
553	Albanian	head	70	kokë	kok	k o k	762
554	English	head	70	head	hɛd	h ɛ d	760
555	French	head	70	tête	tɛt	t ɛ t	759
556	German	head	70	Kopf	kop͡f	k o p͡f	-758
557	Hawaiian	head	70	po`o	poʔo	p o ʔ o	764
558	Latin	head	70	caput	kaput	k a p u t	760
559	Navajo	head	70	'atsii'	ʦiːʔ	ʦ iː ʔ	763
560	Turkish	head	70	baş	baʃ	b a ʃ	761
#
561	Albanian	hear	71	dëgjon	dəɟo	d ə ɟ o	789
562	English	hear	71	hears	hɪr	h ɪ r	786
563	French	hear	71	entend	ɑ̃tɑ̃d	ɑ̃ t ɑ̃ d	787
564	German	hear	71	hört	høːr	h øː r	786
565	Hawaiian	hear	71	lohe	lohe	l o h e	792
566	Latin	hear	71	audit	audiː	au d iː	791
567	Navajo	hear	71	diits'a'	diːʦˀaʔ	d iː ʦˀ a ʔ	790
568	Turkish	hear	71	işitiyor	iʃit	i ʃ i t	788
#
569	Albanian	heart	72	zemër	zemər	z e m ə r	922
570	English	heart	72	heart	hɑrt	h ɑ r t	920
571	French	heart	72	cœur	kœr	k œ r	920
572	German	heart	72	Herz	herʦən	h e r ʦ ə n	920
573	Hawaiian	heart	72	pu`uwai	puʔuwai	p u ʔ u w a i	924
574	Latin	heart	72	cor	kord	k o r d	920
575	Navajo	heart	72	'ajéídíshjool	ʤeidiʃʤoːl	ʤ e i d i ʃ ʤ oː l	923
576	Turkish	heart	72	yürek	jyrek	j y r e k	921
#
577	Albanian	heavy	73	rëndë	rənd	r ə n d	331
578	English	heavy	73	heavy	hɛvi	h ɛ v i	329
579	French	heavy	73	lourd	lurd	l u r d	328
580	German	heavy	73	schwer	ʃveːr	ʃ v eː r	327
581	Hawaiian	heavy	73	kaumaha	kaumaha	k a u m a h a	334
582	Latin	heavy	73	gravis	grawi	g r a w i	333
583	Navajo	heavy	73	ndaaz	ndaːz	n d aː z	332
584	Turkish	heavy	73	ağır	aɣɯr	a ɣ ɯ r	330
#
585	Albanian	here	74	këtu	kətu	k ə t u	523
586	English	here	74	here	hɪr	h ɪ r	520
587	French	here	74	ici	isi	i s i	521
588	German	here	74	hier	hiːr	h iː r	520
589	Hawaiian	here	74	nei	nei	n e i	526
590	Latin	here	74	hic	hiːk	h iː k	525
591	Navajo	here	74	kwe'é	kweʔe	kw e ʔ e	524
592	Turkish	here	74	burada	bura	b u r a	522
#
593	Albanian	hit	75	qëllon	cəło	c ə ł o	177
594	English	hit	75	hits	hɪt	h ɪ t	-175
595	French	hit	75	frappe	frape	f r a p e	-174
596	German	hit	75	schlägt	ʃlaːg	ʃ l aː g	173
597	Hawaiian	hit	75	ku`i	kuʔi	k u ʔ i	180
598	Latin	hit	75	ferit	feriː	f e r iː	179
599	Navajo	hit	75	ńdiists'in	ńdiːɬʦˀin	ń d iː ɬ ʦˀ i n	178
600	Turkish	hit	75	vuruyor	vur	v u r	176
#
601	Albanian	hold	76	mban	mba	m b a	811
602	English	hold	76	holds	hold	h o l d	808
603	French	hold	76	tient	tən	t ə n	809
604	German	hold	76	hält	halt	h a l t	808
605	Hawaiian	hold	76	pa`a	paʔa	p a ʔ a	813
606	Latin	hold	76	tenet	teneː	t e n eː	809
607	Navajo	hold	76	yótą'	jotãʔ	j o t ã ʔ	812
608	Turkish	hold	76	tutuyor	tut	t u t	810
#
609	Albanian	horn	77	bri	brir	b r i r	1085
610	English	horn	77	horn	hɔrn	h ɔ r n	1083
611	French	horn	77	corne	kɔrn	k ɔ r n	1083
612	German	horn	77	Horn	horn	h o r n	1083
613	Hawaiian	horn	77	kiwi	kiwi	k i w i	1087
614	Latin	horn	77	cornu	kornuː	k o r n uː	1083
615	Navajo	horn	77	'adee'	deːʔ	d eː ʔ	1086
616	Turkish	horn	77	boynuz	bojnuz	b o j n u z	1084
#
617	Albanian	hot	78	nxehtë	nʣeht	n ʣ e h t	999
618	English	hot	78	hot	hɑt	h ɑ t	996
619	French	hot	78	chaud	ʃod	ʃ o d	997
620	German	hot	78	heiß	hais	h ai s	996
621	Hawaiian	hot	78	wela	wela	w e l a	1001
622	Latin	hot	78	calidus	kalido	k a l i d o	997
623	Navajo	hot	78	sido	sido	s i d o	1000
624	Turkish	hot	78	sıcak	sɯjak	s ɯ j a k	998
#
625	Albanian	human	79	njerí	ɲeri	ɲ e r i	49
626	English	human	79	human	hjumən	h j u m ə n	-47
627	French	human	79	humain	ymɛn	y m ɛ n	-47
628	German	human	79	Mensch	menʃən	m e n ʃ ə n	46
629	Hawaiian	human	79	kanaka	kanaka	k a n a k a	51
630	Latin	human	79	homo	homin	h o m i n	47
631	Navajo	human	79	diné	dine	d i n e	50
632	Turkish	human	79	adam	adam	a d a m	-48
#
633	Albanian	hunt	80	gjuan	ɟua	ɟ u a	267
634	English	hunt	80	hunts	hənt	h ə n t	265
635	French	hunt	80	chasse	ʃase	ʃ a s e	264
636	German	hunt	80	jagt	jaːg	j aː g	263
637	Hawaiian	hunt	80	hahai	hahai	h a h a i	270
638	Latin	hunt	80	venatur	weːnaː	w eː n aː	269
639	Navajo	hunt	80	haalzheeh	haːlʒeːh	h aː l ʒ eː h	268
640	Turkish	hunt	80	avlıyor	avla	a v l a	266
#
641	Albanian	husband	81	burrë	burː	b u rː	324
642	English	husband	81	husband	həzbənd	h ə z b ə n d	-322
643	French	husband	81	mari	mari	m a r i	321
644	German	husband	81	Gatte	gatə	g a t ə	320
645	Hawaiian	husband	81	kāne	kaːne	k aː n e	326
646	Latin	husband	81	maritus	mariːto	m a r iː t o	321
647	Navajo	husband	81	hastiin	hastiːn	h a s t iː n	325
648	Turkish	husband	81	koca	koʤa	k o ʤ a	-323
#
649	Albanian	I	82	unë	unə	u n ə	1068
650	English	I	82	I	ai	ai	1066
651	French	I	82	je	ʒə	ʒ ə	1066
652	German	I	82	ich	ix	i x	1066
653	Hawaiian	I	82	au	au	a u	1070
654	Latin	I	82	ego	ego	e g o	1066
655	Navajo	I	82	shí	ʃi	ʃ i	1069
656	Turkish	I	82	ben	ben	b e n	1067
#
657	Albanian	ice	83	akull	akuł	a k u ł	451
658	English	ice	83	ice	ais	ai s	448
659	French	ice	83	glace	glas	g l a s	449
660	German	ice	83	Eis	ais	ai s	448
661	Hawaiian	ice	83	hau	hau	h a u	453
662	Latin	ice	83	glacies	glakieː	g l a k i eː	449
663	Navajo	ice	83	tin	tin	t i n	452
664	Turkish	ice	83	buz	buz	b u z	450
#
665	Albanian	if	84	në qoftë se	coft	c o f t	972
666	English	if	84	if	ɪf	ɪ f	970
667	French	if	84	si	si	s i	969
668	German	if	84	wenn	ven	v e n	968
669	Hawaiian	if	84	inā	inaː	i n aː	974
670	Latin	if	84	si	siː	s iː	969
671	Navajo	if	84	-dąą	dãː	d ãː	973
672	Turkish	if	84	eğer	eɣer	e ɣ e r	-971
#
673	Albanian	in	85	në	nə	n ə	957
674	English	in	85	in	ɪn	ɪ n	957
675	French	in	85	dans	dɑ̃	d ɑ̃	957
676	German	in	85	in	in	i n	957
677	Hawaiian	in	85	i loko	loko	l o k o	960
678	Latin	in	85	in	in	i n	957
679	Navajo	in	85	bii'	iːʔ	iː ʔ	959
680	Turkish	in	85	içinde	iʧin	i ʧ i n	958
#
681	Albanian	kill	86	vret	vr	v r	42
682	English	kill	86	kills	kɪl	k ɪ l	40
683	French	kill	86	tue	tye	t y e	39
684	German	kill	86	tötet	tøːt	t øː t	38
685	Hawaiian	kill	86	pepehi ā make	pepehiaːmake	p e p e h i aː m a k e	45
686	Latin	kill	86	interficit	interfike	i n t e r f i k e	44
687	Navajo	kill	86	'iishhé	ʔiːɣe	ʔ iː ɣ e	43
688	Turkish	kill	86	öldürüyor	øldyr	ø l d y r	41
#
689	Albanian	knee	87	gju	ɟur	ɟ u r	1127
690	English	knee	87	knee	ni	n i	1125
691	French	knee	87	genou	ʒənu	ʒ ə n u	1125
692	German	knee	87	Knie	kniː	k n iː	1125
693	Hawaiian	knee	87	kuli	kuli	k u l i	1129
694	Latin	knee	87	genu	genuː	g e n uː	1125
695	Navajo	knee	87	'agod	god	g o d	1128
696	Turkish	knee	87	diz	diz	d i z	1126
#
697	Albanian	knife	88	thikë	θik	θ i k	489
698	English	knife	88	knife	naif	n ai f	487
699	French	knife	88	couteau	kuto	k u t o	486
700	German	knife	88	Messer	mesər	m e s ə r	485
701	Hawaiian	knife	88	pahi	pahi	p a h i	491
702	Latin	knife	88	culter	kultro	k u l t r o	486
703	Navajo	knife	88	béésh	beːʃ	b eː ʃ	490
704	Turkish	knife	88	bıçak	bɯʧak	b ɯ ʧ a k	488
#
705	Albanian	know	89	di	di	d i	1242
706	English	know	89	knows	no	n o	1240
707	French	know	89	sait	sa	s a	1239
708	German	know	89	weiß	vis	v i s	1238
709	Hawaiian	know	89	`ike	ʔike	ʔ i k e	1245
710	Latin	know	89	scit	skiː	s k iː	1244
711	Navajo	know	89	bééhózin	beːhozin	b eː h o z i n	1243
712	Turkish	know	89	biliyor	bil	b i l	1241
#
713	Albanian	lake	90	liqen	licen	l i c e n	-113
714	English	lake	90	lake	lek	l e k	-111
715	French	lake	90	lac	lak	l a k	-111
716	German	lake	90	See	zeː	z eː	110
717	Hawaiian	lake	90	loko	loko	l o k o	115
718	Latin	lake	90	lacus	laku	l a k u	111
719	Navajo	lake	90	tooh siyínígíí	toːh	t oː h	114
720	Turkish	lake	90	göl	gøl	g ø l	112
#
721	Albanian	laugh	91	qesh	ceʃ	c e ʃ	679
722	English	laugh	91	laughs	laf	l a f	676
723	French	laugh	91	rit	ri	r i	677
724	German	laugh	91	lacht	lax	l a x	676
725	Hawaiian	laugh	91	`aka	ʔaka	ʔ a k a	681
726	Latin	laugh	91	ridet	riːdeː	r iː d eː	677
727	Navajo	laugh	91	yidloh	jidˡoh	j i dˡ o h	680
728	Turkish	laugh	91	gülüyor	gyl	g y l	678
#
729	Albanian	leaf	92	gjethe	ɟeθ	ɟ e θ	430
730	English	leaf	92	leaf	lif	l i f	428
731	French	leaf	92	feuille	fœj	f œ j	427
732	German	leaf	92	Blatt	blat	b l a t	426
733	Hawaiian	leaf	92	lau	lau	l a u	432
734	Latin	leaf	92	folium	folio	f o l i o	427
735	Navajo	leaf	92	'at'ąą'	tˀãːʔ	tˀ ãː ʔ	431
736	Turkish	leaf	92	yaprak	japrak	j a p r a k	429
#
737	Albanian	left	93	majtë	majt	m a j t	1218
738	English	left	93	left	lɛft	l ɛ f t	1216
739	French	left	93	gauche	goʃ	g o ʃ	-1215
740	German	left	93	link	liŋk	l i ŋ k	1214
741	Hawaiian	left	93	hema	hema	h e m a	1221
742	Latin	left	93	sinister	sinistro	s i n i s t r o	1220
743	Navajo	left	93	nishtƚ'a	niʃtˡˀa	n i ʃ tˡˀ a	1219
744	Turkish	left	93	sol	sol	s o l	1217
#
745	Albanian	lie	94	(rri) shtrirë	ʃtrir	ʃ t r i r	978
746	English	lie	94	lies	lai	l ai	975
747	French	lie	94	(est) allongé	alɔ̃ʒe	a l ɔ̃ ʒ e	976
748	German	lie	94	liegt	liːg	l iː g	975
749	Hawaiian	lie	94	moe	moe	m o e	981
750	Latin	lie	94	iacet	jakeː	j a k eː	980
751	Navajo	lie	94	sitį́	sitĩ́	s i t ĩ́	979
752	Turkish	lie	94	yatıyor	jat	j a t	977
#
753	Albanian	liver	95	mëlçi	məlʧi	m ə l ʧ i	796
754	English	liver	95	liver	lɪvər	l ɪ v ə r	793
755	French	liver	95	foie	fwa	f w a	-794
756	German	liver	95	Leber	leːbər	l eː b ə r	793
757	Hawaiian	liver	95	ake	ake	a k e	799
758	Latin	liver	95	iecur	jekin	j e k i n	798
759	Navajo	liver	95	'azid	zid	z i d	797
760	Turkish	liver	95	ciğer	ʤiɣer	ʤ i ɣ e r	-795
#
761	Albanian	long	96	gjatë	ɟat	ɟ a t	728
762	English	long	96	long	lɔŋ	l ɔ ŋ	728
763	French	long	96	long	lɔ̃g	l ɔ̃ g	728
764	German	long	96	lang	laŋ	l a ŋ	728
765	Hawaiian	long	96	loa	loa	l o a	731
766	Latin	long	96	longus	longo	l o n g o	728
767	Navajo	long	96	nineez	nineːz	n i n eː z	730
768	Turkish	long	96	uzun	uzun	u z u n	729
#
769	Albanian	louse	97	morr	morː	m o rː	601
770	English	louse	97	louse	laus	l au s	598
771	French	louse	97	pou	pu	p u	599
772	German	louse	97	Laus	lauz	l au z	598
773	Hawaiian	louse	97	`uku	ʔuku	ʔ u k u	603
774	Latin	louse	97	pediculus	peːdikulo	p eː d i k u l o	599
775	Navajo	louse	97	yaa'	jaːʔ	j aː ʔ	602
776	Turkish	louse	97	bit	bit	b i t	600
#
777	Albanian	man	98	burrë	burː	b u rː	1146
778	English	man	98	man	man	m a n	1143
779	French	man	98	homme	ɔm	ɔ m	1144
780	German	man	98	Mann	man	m a n	1143
781	Hawaiian	man	98	kāne	kaːne	k aː n e	1149
782	Latin	man	98	vir	wiro	w i r o	1148
783	Navajo	man	98	hastiin	hastiːn	h a s t iː n	1147
784	Turkish	man	98	erkek	erkek	e r k e k	1145
#
785	Albanian	many	99	shumë	ʃum	ʃ u m	-594
786	English	many	99	many	mɛni	m ɛ n i	592
787	French	many	99	beaucoup de	boku	b o k u	591
788	German	many	99	viele	fiːl	f iː l	590
789	Hawaiian	many	99	nui	nui	n u i	597
790	Latin	many	99	multi	multo	m u l t o	596
791	Navajo	many	99	lą'í	lãʔi	l ã ʔ i	595
792	Turkish	many	99	çok	ʧok	ʧ o k	-593
#
793	Albanian	meat	100	mish	miʃ	m i ʃ	252
794	English	meat	100	meat	mit	m i t	250
795	French	meat	100	viande	vjɑ̃d	v j ɑ̃ d	249
796	German	meat	100	Fleisch	flaiʃ	f l ai ʃ	248
797	Hawaiian	meat	100	`i`o	ʔiʔo	ʔ i ʔ o	255
798	Latin	meat	100	caro	karn	k a r n	254
799	Navajo	meat	100	'atsį'	ʦĩʔ	ʦ ĩ ʔ	253
800	Turkish	meat	100	et	et	e t	251
#
801	Albanian	moon	101	hënë	hən	h ə n	457
802	English	moon	101	moon	mun	m u n	454
803	French	moon	101	lune	lyn	l y n	455
804	German	moon	101	Mond	moːnd	m oː n d	454
805	Hawaiian	moon	101	mahina	mahina	m a h i n a	459
806	Latin	moon	101	luna	luːna	l uː n a	455
807	Navajo	moon	101	'ooljéé'	ʔoːlʤeːʔ	ʔ oː l ʤ eː ʔ	458
808	Turkish	moon	101	ay	aj	a j	456
#
809	Albanian	mother	102	nënë	nən	n ə n	1199
810	English	mother	102	mother	məðər	m ə ð ə r	1197
811	French	mother	102	mère	mɛr	m ɛ r	1197
812	German	mother	102	Mutter	mutər	m u t ə r	1197
813	Hawaiian	mother	102	makuahine	makuahine	m a k u a h i n e	1201
814	Latin	mother	102	mater	maːtr	m aː t r	1197
815	Navajo	mother	102	'amá	may	m ay	1200
816	Turkish	mother	102	anne	anne	a n n e	1198
#
817	Albanian	mountain	103	mal	mal	m a l	1063
818	English	mountain	103	mountain	mauntən	m au n t ə n	-1061
819	French	mountain	103	montagne	mɔ̃taɲ	m ɔ̃ t a ɲ	1061
820	German	mountain	103	Berg	berg	b e r g	1060
821	Hawaiian	mountain	103	mauna	mauna	m a u n a	1065
822	Latin	mountain	103	mons	mont	m o n t	1061
823	Navajo	mountain	103	dziƚ	ʣiɬ	ʣ i ɬ	1064
824	Turkish	mountain	103	dağ	daɣ	d a ɣ	1062
#
825	Albanian	mouth	104	gojë	goj	g o j	-1108
826	English	mouth	104	mouth	mauθ	m au θ	1105
827	French	mouth	104	bouche	buʃ	b u ʃ	1106
828	German	mouth	104	Mund	mund	m u n d	1105
829	Hawaiian	mouth	104	waha	waha	w a h a	1111
830	Latin	mouth	104	os	oːr	oː r	1110
831	Navajo	mouth	104	'azéé'	zeːʔ	z eː ʔ	1109
832	Turkish	mouth	104	ağız	aɣz	a ɣ z	1107
#
833	Albanian	name	105	emër	emər	e m ə r	244
834	English	name	105	name	nem	n e m	244
835	French	name	105	nom	nɔ̃	n ɔ̃	244
836	German	name	105	Name	naːmən	n aː m ə n	244
837	Hawaiian	name	105	inoa	inoa	i n o a	247
838	Latin	name	105	nomen	noːmin	n oː m i n	244
839	Navajo	name	105	'ázhi'	ʒiʔ	ʒ i ʔ	246
840	Turkish	name	105	ad	ad	a d	245
#
841	Albanian	narrow	106	ngushtë	nguʃt	n g u ʃ t	-630
842	English	narrow	106	narrow	naro	n a r o	632
843	French	narrow	106	étroit	etrwat	e t r w a t	631
844	German	narrow	106	eng	eŋ	e ŋ	630
845	Hawaiian	narrow	106	lā`iki	laːʔiki	l aː ʔ i k i	635
846	Latin	narrow	106	angustus	angusto	a n g u s t o	630
847	Navajo	narrow	106	'áƚts'óózí	ʔayɬʦˀoːzi	ʔ ay ɬ ʦˀ       oː z i	634
848	Turkish	narrow	106	dar	dar	d a r	633
#
849	Albanian	near	107	afër	afər	a f ə r	892
850	English	near	107	near	nɪr	n ɪ r	889
851	French	near	107	près de	prɛ	p r ɛ	890
852	German	near	107	nah	naː	n aː	889
853	Hawaiian	near	107	kokoke	kokoke	k o k o k e	895
854	Latin	near	107	prope	prope	p r o p e	894
855	Navajo	near	107	'áhání	ʔayhayni	ʔ ay h ay n i	893
856	Turkish	near	107	yakın	jakɯn	j a k ɯ n	891
#
857	Albanian	neck	108	qafë	caf	c a f	-1158
858	English	neck	108	neck	nɛk	n ɛ k	1156
859	French	neck	108	cou	ku	k u	1155
860	German	neck	108	Hals	halz	h a l z	1155
861	Hawaiian	neck	108	`ā`ī	ʔaːʔiː	ʔ aː ʔ iː	1160
862	Latin	neck	108	collum	kollo	k o l l o	1155
863	Navajo	neck	108	'ak'os	kˀos	kˀ o s	1159
864	Turkish	neck	108	boyun	bojn	b o j n	1157
#
865	Albanian	new	109	ri	ri	r i	475
866	English	new	109	new	nu	n u	473
867	French	new	109	nouveau	nuvɛl	n u v ɛ l	473
868	German	new	109	neu	noi	n oi	473
869	Hawaiian	new	109	hou	hou	h o u	477
870	Latin	new	109	novos	nowo	n o w o	473
871	Navajo	new	109	'ániid	niːd	n iː d	476
872	Turkish	new	109	yeni	jeni	j e n i	474
#
873	Albanian	night	110	natë	nat	n a t	289
874	English	night	110	night	nait	n ai t	289
875	French	night	110	nuit	nɥi	n ɥ i	289
876	German	night	110	Nacht	naxt	n a x t	289
877	Hawaiian	night	110	pō	poː	p oː	292
878	Latin	night	110	nox	nokt	n o k t	289
879	Navajo	night	110	tl'éé'	tˡˀeːʔ	tˡˀ eː ʔ	291
880	Turkish	night	110	gece	geʤe	g e ʤ e	290
#
881	Albanian	nose	111	hundë	hund	h u n d	286
882	English	nose	111	nose	noz	n o z	284
883	French	nose	111	nez	ne	n e	284
884	German	nose	111	Nase	naːzə	n aː z ə	284
885	Hawaiian	nose	111	ihu	ihu	i h u	288
886	Latin	nose	111	nasus	naːso	n aː s o	284
887	Navajo	nose	111	'áchį́į́h	ʧĩ́ːh	ʧ ĩ́ː h	287
888	Turkish	nose	111	burun	burn	b u r n	285
#
889	Albanian	not	112	nuk	nuk	n u k	27
890	English	not	112	not	nɑt	n ɑ t	24
891	French	not	112	ne...pas	pa	p a	25
892	German	not	112	nicht	nixt	n i x t	24
893	Hawaiian	not	112	`a`ole	ʔaʔole	ʔ a ʔ o l e	29
894	Latin	not	112	non	noːn	n oː n	24
895	Navajo	not	112	doo...da	doː	d oː	28
896	Turkish	not	112	değil	deɣil	d e ɣ i l	26
#
897	Albanian	now	113	tani	tani	t a n i	235
898	English	now	113	now	nau	n au	232
899	French	now	113	maintenant	mɛ̃tnɑ̃	m ɛ̃ t n ɑ̃	233
900	German	now	113	nun	nuːn	n uː n	232
901	Hawaiian	now	113	`ānō	ʔaːnoː	ʔ aː n oː	237
902	Latin	now	113	nunc	nunk	n u n k	232
903	Navajo	now	113	k'ad	kˀad	kˀ a d	236
904	Turkish	now	113	şimdi	ʃimdi	ʃ i m d i	234
#
905	Albanian	old	114	vjetër	vjetər	v j e t ə r	-343
906	English	old	114	old	old	o l d	342
907	French	old	114	vieil	vjɛj	v j ɛ j	343
908	German	old	114	alt	alt	a l t	342
909	Hawaiian	old	114	o`o	oʔo	o ʔ o	346
910	Latin	old	114	vetus	weter	w e t e r	343
911	Navajo	old	114	sání	sayni	s ay n i	345
912	Turkish	old	114	ihtiyar	ihtijar	i h t i j a r	-344
#
913	Albanian	one	115	një	ɲə	ɲ ə	663
914	English	one	115	one	wən	w ə n	661
915	French	one	115	un	œ̃	œ̃	661
916	German	one	115	eins	ain	ai n	661
917	Hawaiian	one	115	`ekahi	ʔekahi	ʔ e k a h i	665
918	Latin	one	115	unus	uːno	uː n o	661
919	Navajo	one	115	ƚáa'ii	ɬayʔiː	ɬ ay ʔ iː	664
920	Turkish	one	115	bir	bir	b i r	662
#
921	Albanian	other	116	tjetër	tjetər	t j e t ə r	1005
922	English	other	116	other	əðər	ə ð ə r	1002
923	French	other	116	autre	otr	o t r	1003
924	German	other	116	anderer	andər	a n d ə r	1002
925	Hawaiian	other	116	`ē a`e	ʔeː	ʔ eː	1007
926	Latin	other	116	alius	alio	a l i o	1003
927	Navajo	other	116	ƚah	ɬah	ɬ a h	1006
928	Turkish	other	116	başka	baʃka	b a ʃ k a	1004
#
929	Albanian	path	117	shteg	ʃteg	ʃ t e g	557
930	English	path	117	path	paθ	p a θ	554
931	French	path	117	sentier	sɑ̃tje	s ɑ̃ t j e	555
932	German	path	117	Pfad	p͡faːd	p͡f aː d	554
933	Hawaiian	path	117	ala	ala	a l a	559
934	Latin	path	117	semita	seːmita	s eː m i t a	555
935	Navajo	path	117	'atiin	tiːn	t iː n	558
936	Turkish	path	117	yol	jol	j o l	556
#
937	Albanian	play	118	luan	lua	l u a	1051
938	English	play	118	plays	ple	p l e	1049
939	French	play	118	joue	ʒue	ʒ u e	1048
940	German	play	118	spielt	ʃpiːl	ʃ p iː l	1047
941	Hawaiian	play	118	pā`ani	paːʔani	p aː ʔ a n i	1054
942	Latin	play	118	ludit	luːde	l uː d e	1053
943	Navajo	play	118	naashné	naːne	n aː n e	1052
944	Turkish	play	118	oynayor	ojna	o j n a	1050
#
945	Albanian	pull	119	tërheq	tərhec	t ə r h e c	851
946	English	pull	119	pulls	pʊl	p ʊ l	849
947	French	pull	119	tire	tire	t i r e	848
948	German	pull	119	zieht	ʦiː	ʦ iː	847
949	Hawaiian	pull	119	huki	huki	h u k i	854
950	Latin	pull	119	trahit	trahe	t r a h e	853
951	Navajo	pull	119	yisdzį́į́s	jiʣĩ́ːs	j i ʣ ĩ́ː s	852
952	Turkish	pull	119	çekiyor	ʧek	ʧ e k	850
#
953	Albanian	push	120	shtyn	ʃty	ʃ t y	1202
954	English	push	120	pushes	pʊʃ	p ʊ ʃ	-1203
955	French	push	120	pousse	puse	p u s e	1203
956	German	push	120	stößt	ʃtoːs	ʃ t oː s	1202
957	Hawaiian	push	120	pahu	pahu	p a h u	1207
958	Latin	push	120	trudit	truːde	t r uː d e	1206
959	Navajo	push	120	béshhííƚ	beɣiːɬ	b e ɣ iː ɬ	1205
960	Turkish	push	120	itiyor	it	i t	1204
#
961	Albanian	rain	121	shi	ʃi	ʃ i	1091
962	English	rain	121	rain	ren	r e n	1088
963	French	rain	121	pluie	plɥi	p l ɥ i	1089
964	German	rain	121	Regen	reːgən	r eː g ə n	1088
